Replace Part C10 0603-1uF-16V in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with 0603-1uF-16V from Capacitors.SchLib
Replace Part J1 CONN_2X40 in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_2X40 from New_Parts.SchLib
Replace Part J2 2PIN in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with 2PIN from Connectors.SchLib
Replace Part J3 CONN_1X4_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X4_1.25MM from New_Parts.SchLib
Replace Part J4 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J5 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J6 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J7 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J8 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J9 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J10 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J11 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J12 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J13 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
