Change Physical Footprint: Designator=J1 Old Footprint=2x40_Header New Footprint=2x40_Header
Change Physical Footprint: Designator=J3 Old Footprint=1X4_1.25MM New Footprint=1X4_1.25MM
Change Physical Footprint: Designator=J4 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J6 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J7 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J8 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J9 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J10 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J11 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J12 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J13 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J14 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J15 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J16 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J17 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J18 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J19 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J20 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J21 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J22 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J23 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J24 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J25 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J26 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J27 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J28 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
Change Physical Footprint: Designator=J29 Old Footprint=1X3_1.25MM New Footprint=1X3_1.25MM
