Altium Designer Pick and Place Locations
C:\Users\jtsang451\Documents\TeamPhantom\Sensors\DAQ-2-B\Release\Pick Place\Pick Place for DAQ-2-B.txt

========================================================================================================================
File Design Information:

Date:       24-02-22
Time:       22:36
Revision:   8c23e4f2dffa1d6d41d5dd1215ce5de4b1aa50ba
Variant:    No variations
Units used: mil

Designator Comment         Layer    Footprint           Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                         
J1         WM1744-ND       TopLayer 1X5_1.25MM          179.921       1699.213      90       "CONN HEADER R/A 5POS 1.25MM"                                                                                                       
R17        10K             TopLayer RES-0603            280.315       482.677       270      "RES SMD 10K OHM 5% 1/10W 0603"                                                                                                     
R16        10K             TopLayer RES-0603            397.047       301.575       180      "RES SMD 10K OHM 5% 1/10W 0603"                                                                                                     
R14        5K              TopLayer RES-0603            529.528       1885.827      270      "RES SMD 4.99K OHM 1% 1/10W 0603"                                                                                                   
U1         TC2117-3.3VDBTR TopLayer SOT223              599.595       833.462       0        "IC REG LIN 3.3V 800MA SOT223-3"                                                                                                    
R3         1K              TopLayer RES-0603            489.370       1004.724      0        "RES SMD 1K OHM 1% 1/10W 0603"                                                                                                      
R2         1K              TopLayer RES-0603            489.173       1061.811      0        "RES SMD 1K OHM 1% 1/10W 0603"                                                                                                      
D2         Red             TopLayer LED-0603            605.512       1004.724      180      "LED RED CLEAR 0603 SMD"                                                                                                            
D1         Green           TopLayer LED-0603            605.315       1061.811      180      "LED GREEN CLEAR 0603 SMD"                                                                                                          
C3         1uF             TopLayer CAP-0603            400.787       894.486       270      "CAP CER 1UF 16V X7R 0603"                                                                                                          
C2         1uF             TopLayer CAP-0603            508.059       660.630       180      "CAP CER 1UF 16V X7R 0603"                                                                                                          
J16        WM1743-ND       TopLayer 1X3_1.25MM          1949.999      182.284       180      "CONN HEADER R/A 3POS 1.25MM"                                                                                                       
JP9        Testpoint2      TopLayer TP2                 859.842       686.614       0        "Single layer pad TP"                                                                                                               
JP8        Testpoint2      TopLayer TP2                 859.842       833.462       0        "Single layer pad TP"                                                                                                               
U4         ADS1115IDGST    TopLayer VSSOP50P310X310-10P 2117.323      828.740       90       "TEXAS INSTRUMENTS - ADS1115IDGST . - Analogue to Digital Converter, 16 bit, 860 SPS, Differential, Single Ended, I2C, Single, 2 V" 
JP3        Testpoint2      TopLayer TP2                 2501.181      1521.659      180      "Single layer pad TP"                                                                                                               
JP4        Testpoint2      TopLayer TP2                 2411.417      1521.659      180      "Single layer pad TP"                                                                                                               
JP2        Testpoint2      TopLayer TP2                 2590.945      1521.659      180      "Single layer pad TP"                                                                                                               
JP13       732-5315-ND     TopLayer 2PIN-JP             1432.677      1826.378      270      "CONN HEADER VERT 2POS 2.54MM"                                                                                                      
