Change Component Comment : Designator=U1 Old Comment=TLV2333 New Comment=TLV2333IDR
Change Component Description : Designator=U1 Old Description=3 2-µV VOS, 0.02-µV/°C, 17-µA, CMOS Operational Amplifiers
Zero-Drift New Description=IC OP AMP ZERO-DRIFT CMOS 8SOIC
Change Component Description : Designator=R1 Old Description=RES 750K OHM 1% 1/10W 0603 New Description=RES SMD 750K OHM 1% 1/10W 0603
Change Component Description : Designator=R5 Old Description=RES SMD 75K OHM 1% 1/8W 0603 New Description=75 kohm, 75 V, 0603 [1608 Metric], 100 mW,  1%
Change Component Description : Designator=R4 Old Description=RES SMD 200K OHM 1% 1/10W 0603 New Description=YAGEO - RC0603FR-07200KL - SMD Chip Resistor, 0603 [1608 Metric], 200 kohm, RC Series, 75 V, Thick Film, 100 mW
Change Component Library : Designator=IR1 Old Library=New_Parts.SchLib New Library=New_Parts_Temp.SchLib
Change Component Library : Designator=R1 Old Library=New_Parts.SchLib New Library=New_Parts_Temp.SchLib
Change Component Library : Designator=R2 Old Library=New_Parts.SchLib New Library=New_Parts_Temp.SchLib
Change Component Library : Designator=R5 Old Library=New_Parts.SchLib New Library=New_Parts_Temp.SchLib
Change Component Library : Designator=U1 Old Library=New_Parts.SchLib New Library=New_Parts_Temp.SchLib
Change component parameters: Designator = "IR1" ("IR1"); Footprint = "ZTP-148SRC1"; UniqueID = "\WPCIDEAR" ("\WPCIDEAR")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Amphenol"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "ZTP-148SRC1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=3.10000, 10=2.80800, 25=2.51560, 50=2.22300, 100=2.16450, 500=1.81350, 1000=1.69650, 5000=1.57950 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "97895"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "45-ZTP-148SRC1-ND"; VariantName = "[No Variations]"
Change component parameters: Designator = "U1" ("U1"); Footprint = "TSSOP65P505X110-8"; UniqueID = "\FVEDNBVA" ("\FVEDNBVA")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SOIC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Amplifiers - Op Amps, Buffer, Instrumentation"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.ti.com/lit/ds/symlink/tlv2333.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/lit/ds/symlink/tlv2333.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "http://www.ti.com/lit/gpn/tlv2333?src-supplier=Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.ti.com/lit/gpn/tlv2333?src-supplier=Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gain Bandwidth Product"; Value = "350kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Bias Current"; Value = "70pA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Offset Voltage (Vos)"; Value = "2uV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "TLV2333IDR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Channels"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Circuits"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Supply Current"; Value = "17uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Current per Channel"; Value = "5mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=1.90000, 10=1.70500, 25=1.60840, 100=1.28680, 250=1.12600, 500=1.09382, 1000=0.86862 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Revision"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Slew Rate"; Value = "0.16V/µs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "6297"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "296-43772-1-ND"; VariantName = "[No Variations]"
Change component parameters: Designator = "R2" ("R2"); Footprint = "RES-0603"; UniqueID = "\RPTLEXDL" ("\RPTLEXDL")
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Chip SMD Resistors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://www.seielect.com/catalog/SEI-Packaging.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.seielect.com/catalog/SEI-Packaging.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://www.seielect.com/Catalog/SEI-rncp.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.seielect.com/Catalog/SEI-rncp.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin,Matte"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "Moisture Resistant,Anti-Sulfur"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.02inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "0.059inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RNCP0603FTD100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Product Number"; Value = "RNCP0603FTD100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "125mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0.10000, 10=0.05800, 100=0.02360, 1000=0.01060, 2500=0.00920 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistor Type"; Value = "Thin Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "RNCP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "158067"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RNCP0603FTD100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.031inch"; VariantName = "[No Variations]"
Change component parameters: Designator = "R1" ("R1"); Footprint = "RES-0603"; UniqueID = "\GMQBGCYX" ("\GMQBGCYX")
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
